,Vertex Cover,Vertex Cover nodes
0,0.0605,25
1,0.0992,26
2,0.1224,24
3,0.1477,22
4,0.1769,23
5,0.1968,20
6,0.2109,29
7,0.2294,27
8,0.242,21
9,0.2554,28
10,0.2595,18
11,0.2743,19
12,0.2899,30
13,0.2965,31
14,0.3166,0
15,0.3314,1
16,0.3391,2
17,0.3619,3
18,0.364,4
19,0.3795,5
20,0.3819,6
21,0.3988,7
22,0.4114,8
23,0.4285,9
24,0.438,10
25,0.448,11
26,0.4713,12
27,0.4792,13
28,0.4828,14
29,0.4924,15
30,0.5005,16
31,0.5172,17
