,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes
0,0.0361,25,0.031,25,0.0332,26,0.0342,9,0.0271,15
1,0.0422,26,0.0417,26,0.0432,25,0.0401,26,0.0372,16
2,0.0451,24,0.0506,24,0.0496,24,0.0427,22,0.03722250041729261,17
3,0.0538,0,0.0523,13,0.0509,22,0.0462,1,0.0378,7
4,0.0581,2,0.056,0,0.0574,23,0.055,0,0.0406,18
5,0.0674,13,0.0642,2,0.0626,28,0.055034774720290294,10,0.0465,19
6,0.0717,22,0.068,12,0.0631,29,0.0567,30,0.0469,30
7,0.0747,23,0.076,23,0.0641,20,0.066,6,0.048,31
8,0.0808,1,0.0802,1,0.0771,0,0.0701,13,0.0551,4
9,0.0847,3,0.085,3,0.0835,1,0.0713,23,0.0583,5
10,0.0868,12,0.0866,11,0.0891,2,0.0772,17,0.0607,6
11,0.0934,11,0.08663174233604967,14,0.0914,3,0.0812,4,0.0643,8
12,0.1029,20,0.0991,22,0.0964,4,0.0838,27,0.0673,9
13,0.1055,29,0.1034,28,0.0984,5,0.0917,29,0.0679,10
14,0.1067,14,0.1045,20,0.1064,6,0.0927,14,0.0722,21
15,0.1131,27,0.1124,29,0.1084,7,0.099,15,0.0782,28
16,0.1141,4,0.1188,8,0.1134,8,0.09904038589829117,16,0.0801,14
17,0.12243333333333334,5,0.1228,10,0.11516666666666667,9,0.1075,19,0.0865,27
18,0.1251,6,0.1296,9,0.1272,10,0.1084,8,0.0967,11
19,0.1293,8,0.12962459194776932,27,0.1276,11,0.113,5,0.1,20
20,0.1348,9,0.1335,5,0.1337,12,0.1219,2,0.1041,29
21,0.1364,10,0.1348,4,0.1409,13,0.12190925625522293,28,0.108,1
22,0.1471,21,0.1449,6,0.1409327308380936,14,0.1287,7,0.1183,3
23,0.1455,28,0.1499,21,0.1477,15,0.1289,24,0.1233,12
24,0.1526,7,0.1504,7,0.1514,16,0.141,25,0.1272,0
25,0.1546,18,0.1534,16,0.1538,17,0.1437,11,0.1297,2
26,0.1593,19,0.15340661732694819,17,0.15380675998634347,27,0.1437137330754352,20,0.1357,13
27,0.1618,30,0.1563,30,0.1598,21,0.1556,3,0.1451,22
28,0.16463333333333333,31,0.1592,31,0.1627,30,0.1588,31,0.1479,23
29,0.16465102724755937,15,0.1694,18,0.1652,31,0.1681,12,0.1547,24
30,0.1696,16,0.1721,19,0.1706,18,0.16812327506899724,21,0.1644,26
31,0.1696,17,0.17210949519579669,15,0.17063989962358847,19,0.1706,18,0.1763,25
