,Lazy Greedy,Lazy nodes,Greedy,Greedy nodes
0,0.3811327687079689,6,0.3811327687079689,6
1,0.5340501938658714,4,0.5340501938658714,4
2,0.6533241039948835,5,0.6533241039948835,5
3,0.6533241039948835,4,0.7130161110768122,0
4,0.7130161110768122,0,0.7695816496483171,2
5,0.7695816496483171,2,0.8041157742692517,1
6,0.8041157742692517,1,0.8386331141666236,3
