,Lazy Greedy,Lazy nodes,Greedy,Greedy nodes,Optimal,Optimal nodes
0,0.10000000000000005,None,0.10000000000000005,None,0.10000000000000005,None
1,0.11227115276820168,2,0.11227115276820168,2,0.11227115276820168,[2]
2,0.12459749889121911,3,0.12459749889121911,3,0.12459749889121911,"[2, 3]"
3,0.1368684270284998,5,0.1368684270284998,5,0.1368684270284998,"[2, 3, 5]"
4,0.1471387526760852,7,0.1471387526760852,7,0.1471387526760852,"[2, 3, 5, 7]"
5,0.156990552909474,4,0.15709057521677894,0,0.15709057521677894,"[0, 2, 3, 5, 7]"
6,0.1668381757297883,1,0.16699194077203205,4,0.16699194077203205,"[0, 2, 3, 4, 5, 7]"
7,0.1768747175591983,0,0.1768747175591983,1,0.1768747175591983,"[0, 1, 2, 3, 4, 5, 7]"
8,0.18589483891046304,8,0.18604426035481292,9,0.18604426035481292,"[0, 1, 2, 3, 4, 5, 7, 9]"
9,0.19505081216406947,9,0.19505081216406947,8,0.19505081216406947,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
10,0.20314208850276688,6,0.20314208850276688,6,0.20314208850276688,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
