,Lazy Greedy,Lazy nodes,Greedy,Greedy nodes,Optimal,Optimal nodes
0,0.16324351040401971,6,0.16324351040401971,6,0.16324351040401971,0
1,0.1820280317629522,5,0.1820280317629517,4,0.1820280317629517,1
2,0.20121869940313777,4,0.20121869940313777,5,0.20121869940313777,2
3,0.21386097102473833,2,0.21386097102473828,0,0.21386097102473828,3
4,0.22659382278605472,0,0.22659382278605472,2,0.22659382278605472,4
5,0.23552103853958564,3,0.23552103853958556,1,0.23552103853958556,5
6,0.24444401790159406,1,0.24444401790159406,3,0.24444401790159406,6
