,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.2364,4,0.2344,4,0.2373,4,0.0905,20,0.091,15,0.2331,4
1,0.303,0,0.3156,1,0.3108,3,0.2482,4,0.1414,18,0.3094,0
2,0.3603,1,0.3734,3,0.3709,14,0.2913,29,0.1725,20,0.3725,1
3,0.4027,3,0.4163,0,0.4055,13,0.3126,44,0.1981,21,0.4153,14
4,0.4413,6,0.4634,14,0.4523,28,0.3682,7,0.2368,23,0.4622,6
5,0.4879,14,0.4905,6,0.485,0,0.4185,14,0.2719,31,0.501,7
6,0.5152,7,0.5231,13,0.5237,1,0.4461,36,0.2993,32,0.5254,3
7,0.5398,13,0.5452,5,0.5382,2,0.4678,34,0.3198,33,0.5429,13
8,0.5755,5,0.572,7,0.5583,6,0.4745,46,0.3395,34,0.5758,5
9,0.5955,8,0.5953,19,0.5912,11,0.4872,16,0.3717,35,0.6,28
10,0.6116,9,0.6236,9,0.6157,7,0.5132,2,0.4015,37,0.6185,11
11,0.6262,19,0.6328,12,0.6386,5,0.5318,48,0.4174,38,0.6456,19
12,0.651,28,0.6602,28,0.6585,9,0.538,31,0.4403,39,0.6644,9
13,0.6752,11,0.6712,8,0.6843,25,0.5554,30,0.4597,40,0.6799,12
14,0.699,12,0.7008,29,0.7038,43,0.577,43,0.4613,41,0.7031,25
15,0.7183,29,0.7196,11,0.7117,12,0.5843,40,0.4899,42,0.7165,29
16,0.7269,22,0.7338,24,0.727,8,0.5961,18,0.5083,44,0.7431,43
17,0.7449,24,0.7394,25,0.7428,19,0.6028,47,0.5208,45,0.7523,22
18,0.7605,25,0.766,43,0.7507,24,0.627,37,0.5357,46,0.7654,31
19,0.7813,43,0.7728,30,0.7731,29,0.6462,13,0.5584,47,0.778,8
20,0.7864,2,0.7784,26,0.7873,22,0.6559,26,0.5815,48,0.7804,16
21,0.8039,10,0.7972,22,0.803,36,0.678,42,0.5861,49,0.7999,17
22,0.8072,16,0.8018,27,0.811,27,0.6905,25,0.6066,2,0.8076,24
23,0.8198,17,0.8109,36,0.8209,31,0.6952,27,0.6211,10,0.8228,30
24,0.8273,26,0.8277,2,0.836,17,0.7059,35,0.6349333333333333,16,0.8376,36
25,0.8398,27,0.8452,16,0.844,16,0.7299,6,0.6437,17,0.8428,2
26,0.8512,30,0.8453,17,0.858,26,0.7478,23,0.6558,26,0.8505,10
27,0.8588,36,0.8573,10,0.8654,34,0.7575333333333333,32,0.6695,27,0.8558,15
28,0.8612,15,0.8661666666666666,18,0.87,40,0.759,15,0.6836,30,0.8626,18
29,0.8702,18,0.8660973526900085,33,0.8785,37,0.7668,38,0.7058,36,0.8657,20
30,0.8747,20,0.8766,44,0.8876,30,0.7926,5,0.7202,22,0.8668,21
31,0.8789,21,0.8818,48,0.8912,10,0.8001,24,0.7324,24,0.8772,23
32,0.8809,23,0.8899,46,0.8966,35,0.8203,1,0.7482,25,0.8804,26
33,0.89,31,0.8953666666666666,37,0.9066,23,0.8243,45,0.7643,43,0.8939,27
34,0.9029,32,0.9014,42,0.9135,48,0.8416,3,0.7803,11,0.8983,32
35,0.9042,33,0.9025,23,0.9146,18,0.8446,21,0.7954,12,0.9041,33
36,0.9154,34,0.9161,47,0.9264,39,0.8485,33,0.8066,29,0.9128,34
37,0.9211,35,0.9168,39,0.9351,47,0.8595,10,0.8236,8,0.9211,35
38,0.9283,37,0.9294,35,0.9359,45,0.8749,28,0.8316,9,0.9246,37
39,0.932,38,0.9379,45,0.9474,49,0.8814,41,0.8469,19,0.93,38
40,0.9392,39,0.9464,34,0.9504,33,0.8931,12,0.8642,28,0.9383,39
41,0.9494,40,0.952,31,0.9539,46,0.9037,19,0.8764,5,0.9502,40
42,0.9519,41,0.962,40,0.9612,42,0.9139,39,0.8965,7,0.9519,41
43,0.9566,42,0.965,21,0.9672,32,0.9258,8,0.9078,13,0.9563,42
44,0.9595,44,0.9683,49,0.9714,44,0.9406,11,0.9199,3,0.9577,44
45,0.9628,45,0.9725,38,0.975,38,0.9511,0,0.935,6,0.9625,45
46,0.9732,46,0.9775,15,0.9788,41,0.9573,49,0.9494,14,0.9724,46
47,0.9815,47,0.9832,20,0.9832,21,0.9714,9,0.9631,0,0.9743,47
48,0.9851,48,0.9859,32,0.9859,15,0.9823,22,0.9755,1,0.9839,48
49,0.9912,49,0.9912,41,0.9898,20,0.9885,17,0.9895,4,0.99,49
