,Vertex Cover,Vertex Cover nodes
0,0.102,1
1,0.1281,4
2,0.1664,12
3,0.1815,2
4,0.2026,3
5,0.2291,6
6,0.2478,8
7,0.262,9
8,0.2723,0
9,0.2954,5
10,0.3234,7
11,0.3304,10
12,0.3432,11
13,0.3516,13
14,0.3612,14
