,Vertex Cover,Vertex Cover nodes
0,0.0666,5
1,0.104,11
2,0.1453,17
3,0.1676,23
4,0.198,29
5,0.2179,2
6,0.2417,8
7,0.2643,14
8,0.283,20
9,0.3047,26
10,0.32,3
11,0.3391,9
12,0.3573,15
13,0.371,21
14,0.393,27
15,0.4055,4
16,0.4187,10
17,0.4351,16
18,0.4481,22
19,0.463,28
20,0.4815,0
21,0.4897,1
22,0.5168,6
23,0.5179,7
24,0.5386,12
25,0.5467,13
26,0.5658,18
27,0.5788,19
28,0.5865,24
29,0.604,25
