,Vertex Cover,Vertex Cover nodes
0,0.0787,1
1,0.0931,4
2,0.108,12
3,0.1194,2
4,0.11944986840988199,3
5,0.1227,6
6,0.1366,8
7,0.1448,9
8,0.1523,0
9,0.1561,5
10,0.1701,7
11,0.1768,10
12,0.1861,11
13,0.1865,13
14,0.1894,14
