,Vertex Cover,Vertex Cover nodes
0,0.0574,5
1,0.089,11
2,0.1148,17
3,0.1288,23
4,0.1483,29
5,0.1724,2
6,0.1808,8
7,0.207,14
8,0.2189,20
9,0.2316,26
10,0.253,3
11,0.2727,9
12,0.2844,15
13,0.2925,21
14,0.3125,27
15,0.3269,4
16,0.3306,10
17,0.349,16
18,0.3571,22
19,0.3801333333333333,28
20,0.3998,0
21,0.4163,1
22,0.4173,6
23,0.4326,7
24,0.4434,12
25,0.4525,13
26,0.4668,18
27,0.4813,19
28,0.4891,24
29,0.5,25
