,Vertex Cover,Vertex Cover nodes
0,0.1653,1
1,0.2235,4
2,0.2956,12
3,0.3446,2
4,0.3809,3
5,0.4149,6
6,0.4406,8
7,0.4752,9
8,0.4987,0
9,0.5312,5
10,0.5566,7
11,0.5631,10
12,0.599,11
13,0.6177,13
14,0.6215,14
