,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes
0,0.022,34,0.0244,34,0.0196,38,0.0215,2,0.0193,22
1,0.0236,7,0.0269,33,0.0201,17,0.0232,15,0.0221,8
2,0.0284,13,0.0318,13,0.0246,34,0.0262,19,0.0229,28
3,0.0319,33,0.0338,7,0.0267,19,0.026231666039864612,47,0.0248,37
4,0.0353,14,0.0346,40,0.0323,33,0.0285,5,0.0253,46
5,0.0385,40,0.0397,14,0.035,18,0.0347,13,0.025382232437293893,6
6,0.0415,0,0.0411,3,0.0371,40,0.0359,11,0.030966666666666667,9
7,0.0452,31,0.0472,19,0.040466666666666665,31,0.0366,14,0.0318,11
8,0.0491,16,0.04720817217098086,32,0.0409,13,0.0391,40,0.0332,12
9,0.0492,19,0.0558,27,0.0457,5,0.0439,37,0.035,47
10,0.0528,27,0.0562,18,0.0499,42,0.0451,4,0.03503220075505219,48
11,0.0538,38,0.0588,42,0.04991857254124478,39,0.0472,3,0.0388,1
12,0.0588,4,0.05880679123589111,0,0.04999500049995,47,0.054,42,0.040466666666666665,2
13,0.0598,5,0.0639,4,0.0547,36,0.05400100936466102,35,0.04049474754320569,15
14,0.0634,17,0.0643,38,0.0587,7,0.0566,34,0.0465,26
15,0.0676,18,0.0644,21,0.058742632612966604,48,0.059,43,0.0477,29
16,0.0691,23,0.0751,49,0.0635,35,0.0659,25,0.0533,44
17,0.06911028580655579,24,0.07511210762331838,16,0.0705,14,0.06590892844377726,10,0.0585,45
18,0.0739,32,0.0782,35,0.077,4,0.0712,29,0.0598,25
19,0.07666666666666666,36,0.0827,31,0.07702125298263138,21,0.072,31,0.059811282467532464,30
20,0.0802,39,0.08273241083609433,39,0.08,27,0.0747,36,0.0613,35
21,0.0823,49,0.089,10,0.08,16,0.07471238438980375,30,0.0692,41
22,0.085,3,0.0897,30,0.0821,0,0.08,46,0.06920506507210693,43
23,0.0911,10,0.09556666666666666,44,0.0843,1,0.0894,27,0.0727,3
24,0.0927,20,0.09329813403731925,20,0.0871,23,0.08941437280620727,32,0.074,10
25,0.09270998415213946,21,0.0978,24,0.0928,49,0.0921,1,0.07663333333333333,20
26,0.0977,42,0.1022,45,0.1002,32,0.09046666666666667,22,0.079,21
27,0.1063,25,0.1097,5,0.1025,24,0.0921,48,0.079,42
28,0.10631750816377794,30,0.10972679540802706,17,0.10251887391519085,25,0.0945,12,0.08906666666666667,4
29,0.1073,35,0.1124,36,0.10483333333333333,15,0.0987,23,0.08906358841675789,5
30,0.1073090345094998,41,0.1137,23,0.1108,2,0.0987199379363848,38,0.08907960935187925,17
31,0.1139,43,0.1156,41,0.1117,28,0.102,39,0.0941,18
32,0.115,1,0.11560955518945634,43,0.1157,9,0.1059,44,0.1048,23
33,0.1209,2,0.1194,26,0.1167,30,0.10592645253021392,17,0.1057,24
34,0.12090483619344773,15,0.1227,9,0.1224,43,0.1128,6,0.10571167698082581,32
35,0.12093850919396296,26,0.1253,2,0.1258,3,0.1191,8,0.10713333333333333,36
36,0.1305,29,0.1253069306930693,15,0.1265,10,0.1162,9,0.1104,39
37,0.13051179267269508,44,0.1286,6,0.1338,45,0.11622646123746637,24,0.11306666666666666,49
38,0.1357,45,0.1402,47,0.1287,26,0.1296,33,0.119,16
39,0.13570697304060972,6,0.1374772504549909,1,0.1311,22,0.12960662525879918,21,0.11776666666666667,19
40,0.1357183418512209,9,0.1399,48,0.1348,46,0.1296319557844492,28,0.1266,27
41,0.1369,11,0.13923333333333332,29,0.1356,41,0.1317,20,0.12356666666666667,38
42,0.14426666666666665,12,0.1422,28,0.1389,29,0.1367,26,0.13,31
43,0.14425718996153142,47,0.1505,25,0.1405,6,0.1369,0,0.13203333333333334,0
44,0.1532,48,0.1531,12,0.1478,20,0.1397,18,0.1327,14
45,0.15166666666666667,28,0.15103333333333332,46,0.1501,12,0.1477,41,0.1366,40
46,0.1525,37,0.15283333333333332,11,0.14983333333333335,37,0.14555708885822283,16,0.1454,7
47,0.1538,46,0.157,37,0.1518,44,0.1504,7,0.1496,13
48,0.15366666666666667,8,0.1595,8,0.1573,11,0.15566666666666668,49,0.1536,33
49,0.1555,22,0.15950429742154706,22,0.15733333333333333,8,0.1565,45,0.1586,34
