,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes
0,0.026,34,0.0226,34,0.0225,38,0.0221,25,0.0202,22
1,0.0315,7,0.0382,33,0.027,17,0.0304,19,0.0247,8
2,0.0403,13,0.0445,13,0.0329,34,0.0363,49,0.028,28
3,0.0532,33,0.0557,7,0.0442,19,0.0407,9,0.0336,37
4,0.0665,14,0.0628,40,0.0562,33,0.0505,6,0.0337,46
5,0.06657568963836631,40,0.0719,14,0.062,18,0.0553,0,0.0363,6
6,0.0756,0,0.0798,3,0.0669,40,0.0705,44,0.0425,9
7,0.0836,31,0.0871,19,0.0718,31,0.0705222639357506,39,0.0467,11
8,0.0907,16,0.0981,32,0.085,13,0.0768,1,0.0567,12
9,0.1024,19,0.1008,27,0.0919,5,0.0814,18,0.059,47
10,0.105,27,0.1076,18,0.1015,42,0.0864,12,0.067,48
11,0.1128,38,0.118,42,0.1083,39,0.0942,34,0.06701133426128456,1
12,0.1186,4,0.1303,0,0.1134,47,0.1043,47,0.0726,2
13,0.1249,5,0.1365,4,0.1293,36,0.11,29,0.0806,15
14,0.1306,17,0.1407,38,0.12933895416629293,7,0.1136,21,0.0845,26
15,0.1463,18,0.1438,21,0.1345,48,0.1199,46,0.0952,29
16,0.1464,23,0.1592,49,0.14743333333333333,35,0.128,31,0.0991,44
17,0.1489,24,0.164,16,0.1553,14,0.1369,36,0.1057,45
18,0.1569,32,0.1684,35,0.1611,4,0.1458,35,0.1133,25
19,0.1653,36,0.1759,31,0.1685,21,0.1545,41,0.1265,30
20,0.1724,39,0.1827,39,0.1727,27,0.1546,27,0.1336,35
21,0.1797,49,0.184,10,0.1799,16,0.1604,16,0.1403,41
22,0.1935,3,0.196,30,0.1892,0,0.164,28,0.1432,43
23,0.1975,10,0.202,44,0.1964,1,0.171,43,0.1512,3
24,0.2026,20,0.2074,20,0.196418836750954,23,0.17443333333333333,11,0.1594,10
25,0.2106,21,0.2114,24,0.2076,49,0.1817,15,0.1668,20
26,0.21573333333333333,42,0.2161,45,0.2163,32,0.1817153628652215,17,0.1692,21
27,0.2201,25,0.2202,5,0.2269,24,0.1927,48,0.1744,42
28,0.2336,30,0.2256,17,0.2274,25,0.1953,38,0.185,4
29,0.23361411953469716,35,0.2315,36,0.2281,15,0.2109,40,0.194,5
30,0.2356,41,0.2392,23,0.2382,2,0.2125,5,0.1989,17
31,0.2414,43,0.246,41,0.2397,28,0.2175,26,0.2047,18
32,0.2464,1,0.2502,43,0.2499,9,0.2238,14,0.209,23
33,0.2479,2,0.2555,26,0.24991030496312538,30,0.23046666666666665,37,0.2138,24
34,0.2596,15,0.2564,9,0.2603,43,0.2332,20,0.2188,32
35,0.2669,26,0.264,2,0.2654,3,0.2456,32,0.2306,36
36,0.2669011332551778,29,0.273,15,0.27143333333333336,10,0.2494,7,0.2391,39
37,0.2706,44,0.2743,6,0.2806,45,0.2526,42,0.2401,49
38,0.2763,45,0.2772,47,0.2791,26,0.26753333333333335,33,0.2506,16
39,0.28246666666666664,6,0.2857,1,0.2838,22,0.2721,24,0.2508,19
40,0.2939,9,0.2966,48,0.2891,46,0.2827,22,0.2614,27
41,0.2903,11,0.2981,29,0.2925,41,0.28523333333333334,4,0.2665,38
42,0.2961666666666667,12,0.2993,28,0.2989,29,0.28522405463934697,3,0.2665320101870554,31
43,0.2961541300656972,47,0.3024,25,0.29890160358222667,6,0.2932,2,0.27573333333333333,0
44,0.3142,48,0.3052,12,0.3068666666666667,20,0.296,8,0.2842,14
45,0.3143,28,0.3092,46,0.3068864468864469,12,0.29673333333333335,23,0.2924,40
46,0.31756666666666666,37,0.3095,11,0.3141,37,0.3029,10,0.2924021488871834,7
47,0.3175878028859243,46,0.3201,37,0.3202,44,0.3133,13,0.3039,13
48,0.31716666666666665,8,0.3205,8,0.3201333333333333,11,0.3283,45,0.3116,33
49,0.3208,22,0.3222,22,0.3215,8,0.3349,30,0.3264,34
