,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0244,20,0.0239,14,0.0235,49,0.0224,38,0.0214,16,0.0216,20
1,0.0252,26,0.0263,20,0.0246,33,0.0229,15,0.0224,29,0.0243,26
2,0.0263,49,0.0305,49,0.0267,26,0.0231,14,0.0241,38,0.0272,35
3,0.0289,35,0.0318,19,0.0289,20,0.0293,20,0.0263,39,0.0272,33
4,0.0298,48,0.0343,26,0.03,14,0.0306,35,0.026302392669268624,1,0.0308,2
5,0.034,6,0.03430316091954023,33,0.0344,6,0.030666776288744552,39,0.0305,4,0.0351,6
6,0.0382,11,0.0363,2,0.0359,30,0.0362,42,0.03050798676068499,21,0.0369,19
7,0.0394,19,0.0388,34,0.0375,47,0.0372,24,0.0317,43,0.0397,3
8,0.0424,33,0.0453,48,0.0382,34,0.039,37,0.0336,5,0.0432,15
9,0.0447,34,0.05,35,0.0456,45,0.03900186028609917,43,0.038,8,0.04321170770295659,42
10,0.0493,41,0.0525,3,0.0499,5,0.042,32,0.03801403321787015,24,0.0479,48
11,0.0528,42,0.0557,12,0.0473,12,0.0492,45,0.03803516819571866,25,0.0515,10
12,0.0553,2,0.055755690191583426,45,0.0519,23,0.0543,3,0.0442,32,0.0581,11
13,0.0613,3,0.0604,41,0.0539,15,0.054322924839165225,18,0.049,40,0.059566666666666664,41
14,0.0622,10,0.062,6,0.0545,2,0.0547,6,0.0502,0,0.0615,49
15,0.0663,12,0.0677,42,0.0599,19,0.0611,11,0.0527,7,0.0628,0
16,0.0663038428353355,14,0.06771204561653599,36,0.0637,22,0.0643,13,0.05270600334233192,13,0.0723,7
17,0.07206666666666667,36,0.07223333333333333,44,0.06776666666666667,13,0.0652,5,0.059,17,0.07230451903243952,12
18,0.0794,45,0.0803,10,0.0733,37,0.0665,4,0.05906351414000927,27,0.07236666666666666,13
19,0.0797,47,0.08032366291691335,31,0.07330835552746806,48,0.0691,46,0.0653,28,0.0739,23
20,0.0806,9,0.0803387879286243,11,0.0736,31,0.0748,8,0.0678,31,0.0761,37
21,0.08463333333333334,15,0.0878,18,0.0811,44,0.0762,34,0.06966666666666667,44,0.0809,8
22,0.094,18,0.08573333333333333,23,0.0811,7,0.0809,9,0.06972977580768903,46,0.0841,14
23,0.0946,22,0.0937,15,0.085,41,0.0862,1,0.0785,9,0.085,36
24,0.09460839954597049,23,0.0976,9,0.0905,28,0.0867,2,0.07850320554755987,15,0.0888,9
25,0.1002,30,0.1012,22,0.09373333333333334,10,0.0867,7,0.0824,18,0.0976,25
26,0.1003,37,0.1012,47,0.0976,40,0.0888,29,0.08240349546816886,22,0.09763399323998069,30
27,0.1033,0,0.1072,27,0.0983,24,0.09796666666666666,40,0.0882,23,0.0992,21
28,0.1044,7,0.1097,0,0.1012,17,0.09796025562461701,30,0.0909,30,0.1044,27
29,0.107,13,0.1099,40,0.1038,3,0.1009,25,0.0917,37,0.1072,28
30,0.1162,17,0.1145,7,0.1105,43,0.1015,48,0.0965,2,0.1101,31
31,0.1182,27,0.115,30,0.1156,27,0.1034,33,0.1019,3,0.1105,45
32,0.1192,28,0.11793333333333333,28,0.1158,8,0.107,47,0.1048,10,0.1148,1
33,0.1205,31,0.12013333333333333,46,0.11581485053037609,42,0.1162,28,0.1068,12,0.1165,39
34,0.1252,44,0.127,37,0.1178,39,0.1163,10,0.11143333333333333,14,0.11973333333333333,4
35,0.1303,46,0.1269942058893563,1,0.1235,18,0.1229,41,0.1188,36,0.1253,16
36,0.1333,5,0.12699443413729128,8,0.1268,9,0.12292963140258496,12,0.11880101515879005,45,0.1303,17
37,0.1336,8,0.1374,17,0.1278,36,0.12713333333333332,17,0.11880292690947956,47,0.13029315960912052,5
38,0.1374,24,0.1374341647619994,13,0.1372,35,0.12713000191460846,22,0.1244,6,0.12906666666666666,18
39,0.139,25,0.13696666666666665,39,0.1387,46,0.1293,44,0.12441020702936928,11,0.1313,22
40,0.14196666666666666,32,0.13753333333333334,5,0.1387476492303406,4,0.1319,26,0.1293,19,0.13563333333333333,24
41,0.14199464601013842,40,0.1449,43,0.1407,38,0.138,31,0.135,33,0.1361,29
42,0.1455,1,0.1472,25,0.1419,32,0.1456,49,0.13853333333333334,34,0.1404,32
43,0.1457,4,0.149,21,0.1454,16,0.1498,36,0.142,41,0.1404064396938506,34
44,0.1529,21,0.1490429421463904,32,0.146,0,0.1502,19,0.1461,42,0.1472,38
45,0.14926666666666666,43,0.14906227883934892,24,0.152,11,0.1519,27,0.1504,35,0.15073333333333333,40
46,0.1521,29,0.1533,4,0.152003771805752,1,0.15093333333333334,0,0.1514,48,0.1532,43
47,0.1558,38,0.15331676543681896,29,0.1534,25,0.1566,16,0.1561,26,0.15626666666666666,44
48,0.15723333333333334,39,0.15332326283987915,38,0.1585,29,0.1567,23,0.15833333333333333,49,0.1567,46
49,0.1576,16,0.162,16,0.15850439092721297,21,0.1635,21,0.1583632939565143,20,0.1606,47
