,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0888,20,0.0841,14,0.086,49,0.0554,8,0.0329,16,0.0909,20
1,0.1535,26,0.1697,20,0.1578,33,0.1306,45,0.0626,29,0.1566,26
2,0.2127,49,0.2237,49,0.2237,26,0.1562,21,0.093,38,0.1916,35
3,0.2467,35,0.2758,19,0.2669,20,0.1985,3,0.1346,39,0.2384,33
4,0.2778,48,0.3228,26,0.3173,14,0.2128,1,0.1568,1,0.283,2
5,0.3158,6,0.3413,33,0.3434,6,0.2591,20,0.1791,4,0.3076,6
6,0.3281,11,0.3717,2,0.3833,30,0.2808,4,0.2035,21,0.3367,19
7,0.3804,19,0.4003,34,0.4148,47,0.3053,48,0.219,43,0.3631,3
8,0.3943,33,0.4173,48,0.435,34,0.3361,22,0.2357,5,0.386,15
9,0.4275,34,0.4431,35,0.4598,45,0.3553,40,0.2677,8,0.4108,42
10,0.4468,41,0.4539,3,0.4853,5,0.3869,6,0.2933,24,0.4327,48
11,0.4663,42,0.4744,12,0.4948,12,0.4145,31,0.2967,25,0.454,10
12,0.4893,2,0.4935,45,0.5155,23,0.4312,29,0.3218,32,0.4732,11
13,0.5105,3,0.5137,41,0.5329,15,0.44,41,0.3577,40,0.4893,41
14,0.517,10,0.5456,6,0.5518,2,0.4668,9,0.3791,0,0.5109,49
15,0.5362,12,0.5541,42,0.5616,19,0.4816,34,0.4088,7,0.5243,0
16,0.5588,14,0.5729,36,0.5851,22,0.5095,26,0.431,13,0.5473,7
17,0.5702,36,0.5753,44,0.5943,13,0.5225,37,0.4413,17,0.5683,12
18,0.5909,45,0.5828,10,0.6149,37,0.5311,18,0.4634,27,0.5868,13
19,0.6126,47,0.6139,31,0.622,48,0.5575,49,0.4842,28,0.5954,23
20,0.626,9,0.624,11,0.6374,31,0.5812,30,0.4969,31,0.6114,37
21,0.6332,15,0.6294,18,0.6571,44,0.5836,0,0.5256,44,0.624,8
22,0.644,18,0.6456,23,0.6699,7,0.6176,14,0.5355,46,0.6469,14
23,0.6506,22,0.6595,15,0.6853,41,0.6261,28,0.5504,9,0.6606,36
24,0.6736,23,0.6783,9,0.6992,28,0.6471,23,0.5685,15,0.6674,9
25,0.6881,30,0.6798,22,0.7091,10,0.6646,15,0.5838,18,0.6691,25
26,0.7053,37,0.6963,47,0.7166,40,0.6696,43,0.6036,22,0.6873666666666667,30
27,0.7172,0,0.714,27,0.7314,24,0.6731333333333334,11,0.6179,23,0.6903,21
28,0.7241,7,0.7181,0,0.7396,17,0.6793,25,0.6352,30,0.7029,27
29,0.7374,13,0.727,40,0.7478,3,0.6935,7,0.6503,37,0.7151,28
30,0.7494,17,0.7361,7,0.7605,43,0.7044,42,0.6607,2,0.7192,31
31,0.7516,27,0.7455,30,0.7647,27,0.7244,33,0.6704,3,0.7424,45
32,0.7678,28,0.7712666666666667,28,0.7752,8,0.7411,35,0.6739,10,0.7488,1
33,0.7774,31,0.7852,46,0.7894,42,0.7445,10,0.7039,12,0.7532,39
34,0.7937666666666666,44,0.7893,37,0.7996,39,0.7627,27,0.7223,14,0.7707,4
35,0.7959,46,0.8001,1,0.8115,18,0.7724,12,0.7286,36,0.7745,16
36,0.8068,5,0.8016333333333333,8,0.8164,9,0.7792,13,0.7519,45,0.7912,17
37,0.8222,8,0.8168,17,0.8289,36,0.7868,32,0.7684,47,0.8,5
38,0.8306,24,0.8288,13,0.8305,35,0.7989,39,0.7833,6,0.8021,18
39,0.8348,25,0.8398,39,0.8357,46,0.8107,36,0.7946,11,0.8247,22
40,0.8453,32,0.8458,5,0.8528,4,0.8216,5,0.8074,19,0.8254666666666667,24
41,0.8543,40,0.8502,43,0.8555,38,0.8225,16,0.8164,33,0.8294,29
42,0.8585,1,0.8646,25,0.871,32,0.8443,2,0.8289,34,0.8334,32
43,0.8628,4,0.868,21,0.8767,16,0.8504,47,0.8475,41,0.8554,34
44,0.8695,21,0.8713,32,0.8818,0,0.8654,46,0.8551,42,0.8587,38
45,0.8813,43,0.8823,24,0.8867,11,0.8719,19,0.8613,35,0.8669,40
46,0.8889,29,0.8881666666666667,4,0.8885,1,0.8819,17,0.8699,48,0.8793,43
47,0.8923,38,0.8938,29,0.8966,25,0.8907,38,0.882,26,0.8929,44
48,0.9075,39,0.8991,38,0.9051,29,0.9005,24,0.8993,49,0.8947,46
49,0.9077,16,0.9037,16,0.9091,21,0.9075,44,0.913,20,0.9082,47
