,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0356,20,0.0421,14,0.0326,49,0.0341,33,0.0251,16,0.034,20
1,0.054,26,0.0592,20,0.049,33,0.0533,3,0.0372,29,0.0569,26
2,0.0737,49,0.0813,49,0.0702,26,0.0728,45,0.0455,38,0.07,35
3,0.0925,35,0.1158,19,0.0922,20,0.0925,5,0.0588,39,0.0871,33
4,0.1143,48,0.126,26,0.1287,14,0.109,10,0.081,1,0.1091,2
5,0.1379,6,0.1502,33,0.1395,6,0.1273,11,0.0882,4,0.1357,6
6,0.152,11,0.1702,2,0.1624,30,0.147,44,0.1016,21,0.1528,19
7,0.1754,19,0.1907,34,0.1806,47,0.1703,2,0.1173,43,0.1723,3
8,0.1871,33,0.2024,48,0.1969,34,0.1889,34,0.11730537649642275,5,0.1792,15
9,0.2015,34,0.2148,35,0.2076,45,0.2032,13,0.135,8,0.2052,42
10,0.2237,41,0.2226,3,0.2202,5,0.2199,40,0.1495,24,0.2108,48
11,0.2356,42,0.256,12,0.2447,12,0.2275,47,0.1605,25,0.2307,10
12,0.2455,2,0.2597,45,0.2765,23,0.2434,19,0.1704,32,0.2498,11
13,0.2653,3,0.2717,41,0.288,15,0.2556,24,0.1894,40,0.2581,41
14,0.2763,10,0.2828,6,0.2972,2,0.2569,23,0.1994,0,0.2717,49
15,0.299,12,0.3083,42,0.3093,19,0.2761,25,0.2151,7,0.282,0
16,0.3184,14,0.3142,36,0.3204,22,0.2881,7,0.2285,13,0.3049,7
17,0.3293,36,0.3313,44,0.3304,13,0.3004,8,0.2447,17,0.3108,12
18,0.3391,45,0.3375,10,0.3474,37,0.3168,31,0.2491,27,0.3241,13
19,0.3576,47,0.3479,31,0.3568,48,0.3282,16,0.2863,28,0.3345,23
20,0.3576025142173002,9,0.3673,11,0.37283333333333335,31,0.3304,4,0.2943,31,0.3458,37
21,0.3711,15,0.3689,18,0.3794,44,0.3387,9,0.3018,44,0.3677,8
22,0.3814,18,0.3896,23,0.3947,7,0.33871812783793226,1,0.3089,46,0.3714,14
23,0.3912,22,0.3916,15,0.40153333333333335,41,0.3515,32,0.3262,9,0.3874,36
24,0.3999,23,0.40563333333333335,9,0.4146666666666667,28,0.3722,26,0.3312,15,0.3877,9
25,0.4185,30,0.4109,22,0.4217,10,0.3805,41,0.3475,18,0.4027,25
26,0.4283,37,0.4269,47,0.4337666666666667,40,0.3924,14,0.3616,22,0.4114,30
27,0.4292,0,0.4393,27,0.4449,24,0.4075,22,0.37,23,0.41563333333333335,21
28,0.4425,7,0.4421,0,0.4543,17,0.424,49,0.3739,30,0.4156152167726022,27
29,0.4511,13,0.4512,40,0.4589,3,0.4307,29,0.3798,37,0.4362,28
30,0.4693,17,0.4713,7,0.475,43,0.4392,46,0.395,2,0.4422,31
31,0.4735,27,0.4747,30,0.4741,27,0.4425,38,0.4056,3,0.4541,45
32,0.48643333333333333,28,0.4777,28,0.4813,8,0.4484,20,0.4197,10,0.4575,1
33,0.48642779587404994,31,0.4899,46,0.4935,42,0.459,48,0.4318,12,0.47,39
34,0.5023,44,0.4928,37,0.5077,39,0.4713,21,0.4467,14,0.4774,4
35,0.5094,46,0.5019,1,0.5144,18,0.4757,0,0.4597,36,0.4859,16
36,0.5099,5,0.5029,8,0.5199,9,0.4807,43,0.4727,45,0.4919,17
37,0.5187,8,0.5223,17,0.5269333333333334,36,0.4943,27,0.4782,47,0.5067,5
38,0.5337,24,0.5257,13,0.5362333333333333,35,0.4967,37,0.4940333333333333,6,0.5037,18
39,0.5325333333333333,25,0.5402,39,0.5425333333333333,46,0.5178,12,0.4982,11,0.5068,22
40,0.5402,32,0.5413666666666667,5,0.545,4,0.5256,6,0.5117,19,0.5274333333333333,24
41,0.5547,40,0.5469666666666667,43,0.5509,38,0.5291666666666667,42,0.5129,33,0.5274146341463415,29
42,0.5558,1,0.5517666666666666,25,0.5549,32,0.5307,17,0.5364,34,0.532,32
43,0.5535,4,0.5536,21,0.565,16,0.5435,18,0.5347666666666666,41,0.5458,34
44,0.5693,21,0.5657,32,0.5761,0,0.5551,35,0.5475,42,0.5526,38
45,0.5677666666666666,43,0.5782,24,0.577,11,0.5621,15,0.5519,35,0.5667,40
46,0.5771,29,0.5813,4,0.5769676320272572,1,0.577,28,0.5573,48,0.5702,43
47,0.58,38,0.5824,29,0.5781,25,0.5786,30,0.5725,26,0.5789,44
48,0.5801,39,0.5878,38,0.5954333333333334,29,0.5839,36,0.5887,49,0.5819,46
49,0.5901,16,0.59,16,0.5972,21,0.5921,39,0.5978,20,0.5919,47
