,High Degree,High Degree nodes,Centrality,Centrality nodes,Temparature,Temperature nodes,Random,Random nodes,Low Degree,Low degree nodes,Vertex Cover,Vertex Cover nodes
0,0.0253,20,0.0264,14,0.0238,49,0.0254,0,0.0235,16,0.0245,20
1,0.0301,26,0.0353,20,0.0285,33,0.0268,29,0.0241,29,0.0293,26
2,0.0367,49,0.0395,49,0.0324,26,0.0378,3,0.0324,38,0.0401,35
3,0.0424,35,0.0513,19,0.0427,20,0.0437,48,0.0324,39,0.0424,33
4,0.0536,48,0.0567,26,0.0525,14,0.0508,17,0.0411,1,0.0464,2
5,0.0568,6,0.059,33,0.0635,6,0.0565,1,0.0438,4,0.0583,6
6,0.0652,11,0.0743,2,0.0635198343271325,30,0.0678,26,0.0511,21,0.0744,19
7,0.0754,19,0.0786,34,0.067,47,0.0725,25,0.0578,43,0.0794,3
8,0.0832,33,0.0883,48,0.0811,34,0.0808,9,0.0578297049676389,5,0.0904,15
9,0.0928,34,0.1005,35,0.085,45,0.0896,22,0.0663,8,0.0907,42
10,0.1023,41,0.1066,3,0.0936,5,0.0928,18,0.0675,24,0.0975,48
11,0.1069,42,0.1123,12,0.102,12,0.0963,39,0.0756,25,0.1045,10
12,0.1137,2,0.1209,45,0.1121,23,0.1081,21,0.0805,32,0.1165,11
13,0.1253,3,0.1275,41,0.1185,15,0.1124,43,0.0835,40,0.1243,41
14,0.1339,10,0.1409,6,0.1295,2,0.1202,8,0.1018,0,0.1287,49
15,0.1397,12,0.1429,42,0.1364,19,0.1209,38,0.107,7,0.1348,0
16,0.1526,14,0.1467,36,0.1382,22,0.1362,14,0.1104,13,0.1387,7
17,0.162,36,0.1623,44,0.1462,13,0.1425,44,0.1183,17,0.1509,12
18,0.16204188481675394,45,0.16234254559127656,10,0.1545,37,0.1529,27,0.132,27,0.1546,13
19,0.1655,47,0.1697,31,0.1646,48,0.1545,28,0.13201404223996377,28,0.1621,23
20,0.1749,9,0.174,11,0.1748,31,0.1619,42,0.136,31,0.1671,37
21,0.1813,15,0.1888,18,0.17486338797814208,44,0.1666,47,0.137,44,0.17,8
22,0.1866,18,0.19143333333333334,23,0.1838,7,0.1736,35,0.1563,46,0.1762,14
23,0.1874,22,0.1983,15,0.1905,41,0.1768,41,0.1581,9,0.1925,36
24,0.2022,23,0.2043,9,0.2002,28,0.1873,11,0.1692,15,0.1988,9
25,0.2044,30,0.2125,22,0.2079,10,0.1912,5,0.1759,18,0.2006,25
26,0.21,37,0.2189,47,0.208,40,0.2045,10,0.1815,22,0.2026,30
27,0.219,0,0.2193,27,0.2204,24,0.2069,23,0.1908,23,0.2123,21
28,0.2232,7,0.2236,0,0.2236,17,0.2068905966669545,16,0.1935,30,0.2189,27
29,0.233,13,0.2369,40,0.2279,3,0.2074,4,0.1975,37,0.2263,28
30,0.235,17,0.23691362995772094,7,0.2328,43,0.211,6,0.2109,2,0.2301,31
31,0.2381,27,0.244,30,0.2371,27,0.221,46,0.215,3,0.2391,45
32,0.2487,28,0.2502,28,0.2546,8,0.2289,33,0.2218,10,0.241,1
33,0.2541,31,0.2582,46,0.2524666666666667,42,0.23713333333333333,49,0.224,12,0.2425,39
34,0.2648,44,0.25821162616175025,37,0.2662,39,0.2428,34,0.2373,14,0.246,4
35,0.2658,46,0.2631,1,0.2662085449656409,18,0.2474,45,0.2454,36,0.2537,16
36,0.271,5,0.271,8,0.2731,9,0.2547,20,0.2454189645970468,45,0.2585,17
37,0.2742,8,0.2737,17,0.2731,36,0.2657,31,0.2505,47,0.2648,5
38,0.2756,24,0.2779,13,0.2825,35,0.2686,37,0.262,6,0.2665,18
39,0.2796,25,0.2855,39,0.282516825794334,46,0.2733,30,0.2629,11,0.2754,22
40,0.28836666666666666,32,0.28926666666666667,5,0.2859,4,0.2798,12,0.2699,19,0.2757,24
41,0.2936,40,0.2987,43,0.2994,38,0.2798213163956167,13,0.2724,33,0.2831,29
42,0.2942,1,0.2987002303389273,25,0.3034,32,0.2841,2,0.2803,34,0.28946666666666665,32
43,0.3004,4,0.3095,21,0.3067,16,0.288,15,0.2829,41,0.28945289354137865,34
44,0.30040223682919653,21,0.30951452524858647,32,0.30483333333333335,0,0.3058,24,0.2945,42,0.299,38
45,0.30723333333333336,43,0.3095187917105725,24,0.3104,11,0.308,19,0.3015,35,0.3063,40
46,0.3127,29,0.30954983603299213,4,0.314,1,0.31,36,0.3015375575359906,48,0.3101,43
47,0.3169,38,0.3115,29,0.3236,25,0.3127,32,0.313,26,0.3137333333333333,44
48,0.3206,39,0.3258333333333333,38,0.3258333333333333,29,0.3262,40,0.3249,49,0.3137543587756683,46
49,0.3225,16,0.3258178370120634,16,0.3258298359404807,21,0.3269,7,0.3261,20,0.3194,47
